Class Instance Setting Details,,,,,Equivalent XL setting details,,,,
Entity Type,Manager UUID,Manager Name,Setting UUID,Setting Name,Manager UUID,Manager Name,Setting UUID,Setting Name,Mapped Type
Application,actionscriptmanager,Action Script Settings,approvalBackendProvisionApp,On Generation,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,approvalBackendResizeApp,On Generation,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,approvalBackendStartApp,On Generation,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,approvalBackendSuspendApp,On Generation,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditAfterExecProvisionApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditAfterExecResizeApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditAfterExecStartApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditAfterExecSuspendApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditOnGenProvisionApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditOnGenResizeApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditOnGenStartApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,auditOnGenSuspendApp,After execution,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,clearProvisionApp,ClearProvision,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,clearResizeApp,ClearResize,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,clearStartApp,ClearStart,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,clearSuspendApp,ClearSuspend,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,postProvisionApp,PostProvision,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,postResizeApp,PostResize,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,postStartApp,PostStart,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,postSuspendApp,PostSuspend,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,preProvisionApp,PreProvision,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,preResizeApp,PreResize,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,preStartApp,PreStart,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,preSuspendApp,PreSuspend,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,provisionApp,Provision,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,resizeApp,Resize,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,startApp,Start,# Action script manager migration is not supported in this release,,,,
Application,actionscriptmanager,Action Script Settings,suspendApp,Suspend,# Action script manager migration is not supported in this release,,,,
Application,appsrvsettingsmanager,Application Server Discovery,autoSetTransactionsCapacity,Auto Set Transactions Capacity,# marketsettingsmanager,Operational Constraints,autoSetResponseTimeCapacity,Disable Response Time SLO,ApplicationComponent
Application,appsrvsettingsmanager,Application Server Discovery,connectionCapacity,Connection Capacity,# don’t migrate,,,,
Application,appsrvsettingsmanager,Application Server Discovery,responseTimeCapacity,Response Time Capacity [ms],marketsettingsmanager,Operational Constraints,responseTimeSLO,Response Time SLO [ms],ApplicationComponent
Application,appsrvsettingsmanager,Application Server Discovery,slaCapacity,SLA Capacity,# don’t migrate,,,,
Application,appsrvsettingsmanager,Application Server Discovery,threadsCapacity,Threads Capacity,# don’t migrate,,,,
Application,appsrvsettingsmanager,Application Server Discovery,transactionsCapacity,Transactions Capacity,marketsettingsmanager,Operational Constraints,transactionSLO,Transaction SLO,ApplicationComponent
Application,automationmanager,Action Mode Settings,provisionApplication,Provision,automationmanager,Action Mode Settings,provision,Provision,ApplicationComponent
Application,automationmanager,Action Mode Settings,resizeApplicationForEfficiency,Resize down,# Never seen this used. I'd recommend not trying to migrate it,,,,
Application,automationmanager,Action Mode Settings,resizeApplicationForPerformance,Resize up,# Never seen this used. I'd recommend not trying to migrate it,,,,
Application,automationmanager,Action Mode Settings,scalingPolicy,Scaling Policy,automationmanager,Action Mode Settings,scalingPolicy,Scaling Policy,ApplicationComponent
Application,automationmanager,Action Mode Settings,startApp,Start,# don’t migrate,,,,
Application,automationmanager,Action Mode Settings,suspendApplication,Suspend,automationmanager,Action Mode Settings,suspend,Suspend,ApplicationComponent
Application,entityprioritiesmanager,Application Priorities,priority,Application Priority,"# not present, skip",,,,
ApplicationServer,actionscriptmanager,Action Script Settings,approvalBackendProvisionAppSrv,On Generation,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,approvalBackendResizeAppSrv,On Generation,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,approvalBackendSuspendAppSrv,On Generation,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,auditAfterExecProvisionAppSrv,After execution,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,auditAfterExecResizeAppSrv,After execution,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,auditAfterExecSuspendAppSrv,After execution,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,auditOnGenProvisionAppSrv,After execution,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,auditOnGenResizeAppSrv,After execution,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,auditOnGenSuspendAppSrv,After execution,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,clearProvisionAppSrv,ClearProvision,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,clearResizeAppSrv,ClearResize,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,clearSuspendAppSrv,ClearSuspend,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,postProvisionAppSrv,PostProvision,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,postResizeAppSrv,PostResize,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,postSuspendAppSrv,PostSuspend,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,preProvisionAppSrv,PreProvision,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,preResizeAppSrv,PreResize,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,preSuspendAppSrv,PreSuspend,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,provisionAppSrv,Provision,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,resizeAppSrv,Resize,# Action script manager migration is not supported in this release,,,,
ApplicationServer,actionscriptmanager,Action Script Settings,suspendAppSrv,Suspend,# Action script manager migration is not supported in this release,,,,
ApplicationServer,marketsettingsmanager,Operational Constraints,utilThreshold_CollectionTime,Collection Time Utilization,"# not present, check with Robert",,,ApplicationComponent.remainingGcCapacityUtilization,
ApplicationServer,marketsettingsmanager,Operational Constraints,utilThreshold_HEAP,Heap Utilization,marketsettingsmanager,Operational Constraints,heapUtilization,Heap Utilization,
BusinessApplication,busappsettingsmanager,Business Application Discovery,busAppAutoSetTransactionsCapacity,Auto Set Transactions Capacity,marketsettingsmanager,Operational Constraints,autoSetTransactionsCapacity,Disable Transaction SLO,
BusinessApplication,busappsettingsmanager,Business Application Discovery,busAppResponseTimeCapacity,Response Time Capacity [ms],marketsettingsmanager,Operational Constraints,responseTimeSLO,Response Time SLO [ms],
BusinessApplication,busappsettingsmanager,Business Application Discovery,busAppSlaCapacity,SLA Capacity,# don’t migrate,,,,
BusinessApplication,busappsettingsmanager,Business Application Discovery,busAppTransactionsCapacity,Transactions Capacity,marketsettingsmanager,Operational Constraints,transactionSLO,Transaction SLO,
BusinessUser,actionscriptmanager,Action Script Settings,moveBusinessUser,Move,# Action script manager migration is not supported in this release,,,,
BusinessUser,actionscriptmanager,Action Script Settings,postMoveBusinessUser,PostMove,# Action script manager migration is not supported in this release,,,,
BusinessUser,actionscriptmanager,Action Script Settings,preMoveBusinessUser,PreMove,# Action script manager migration is not supported in this release,,,,
BusinessUser,automationmanager,Action Mode Settings,moveBusinessUser,Move,automationmanager,Action Mode Settings,businessUserMove,Move,
BusinessUser,marketsettingsmanager,Operational Constraints,percentileMaxScalingObservationPeriod_BU,Max Observation Period,marketsettingsmanager,Operational Constraints,maxObservationPeriodBusinessUser,Max Observation Period,
BusinessUser,marketsettingsmanager,Operational Constraints,percentileScalingAggressiveness_BU,Aggressiveness,marketsettingsmanager,Operational Constraints,percentileAggressivenessBusinessUser,Aggressiveness,
BusinessUser,marketsettingsmanager,Operational Constraints,resizeTargetUtilization_ImageCPU,BusinessUser Image CPU Target Utilization,marketsettingsmanager,Operational Constraints,resizeTargetUtilizationImageCPU,Image CPU Target Utilization,
BusinessUser,marketsettingsmanager,Operational Constraints,resizeTargetUtilization_ImageMem,BusinessUser Image Mem Target Utilization,marketsettingsmanager,Operational Constraints,resizeTargetUtilizationImageMem,Image Mem Target Utilization,
BusinessUser,marketsettingsmanager,Operational Constraints,resizeTargetUtilization_ImageStorage,BusinessUser Image Storage Target Utilization,marketsettingsmanager,Operational Constraints,resizeTargetUtilizationImageStorage,Image Storage Target Utilization,
Container,automationmanager,Action Mode Settings,moveContainer,Move,automationmanager,Action Mode Settings,move,Move / Compute Scale,
Container,automationmanager,Action Mode Settings,provisionContainer,Provision,automationmanager,Action Mode Settings,provision,Provision,
Container,automationmanager,Action Mode Settings,resizeContainer,Resize,automationmanager,Action Mode Settings,resize,Resize,
Container,marketsettingsmanager,Operational Constraints,enforceConsistentResizingContainer,Consistent Resizing,marketsettingsmanager,Operational Constraints,consistentResizing,Enable Consistent Resizing,
Container,marketsettingsmanager,Operational Constraints,resizeTargetUtilization_Container,Resize Target Utilization,"# not present, skip and check with Enlin",,,,
Container,marketsettingsmanager,Operational Constraints,usedIncrement_Container_VCPU,Increment constant for Container VCPU [MHz],marketsettingsmanager,Operational Constraints,usedIncrement_Container_VCPU,Increment constant for VCPU and VCPU Request [MHz],
Container,marketsettingsmanager,Operational Constraints,usedIncrement_Container_VMEM,Increment constant for Container VMem [MB],marketsettingsmanager,Operational Constraints,usedIncrement_Container_VMEM,Increment constant for VMem and VMem Request [MB],
ContainerPod,automationmanager,Action Mode Settings,moveContainerPod,Move,automationmanager,Action Mode Settings,move,Move / Compute Scale,
ContainerPod,automationmanager,Action Mode Settings,provisionContainerPod,Provision,automationmanager,Action Mode Settings,provision,Provision,
ContainerPod,automationmanager,Action Mode Settings,suspendContainerPod,Suspend,automationmanager,Action Mode Settings,suspend,Suspend,
Database,marketsettingsmanager,Operational Constraints,resizeTargetUtilization_Database,Resize Target Utilization DB,marketsettingsmanager,Operational Constraints,"resizeTargetUtilizationVcpu,resizeTargetUtilizationVmem",Scaling Target VMEM/VCPU Utilization,
DatabaseServer,actionscriptmanager,Action Script Settings,postResizeDBS,PostResize,# Action script manager migration is not supported in this release,,,,
DatabaseServer,actionscriptmanager,Action Script Settings,preResizeDBS,PreResize,# Action script manager migration is not supported in this release,,,,
DatabaseServer,actionscriptmanager,Action Script Settings,resizeDBS,Resize,# Action script manager migration is not supported in this release,,,,
DatabaseServer,automationmanager,Action Mode Settings,resizeDBSForEfficiency,Resize down,automationmanager,Action Mode Settings,resizeDownDBMem,Resize Down DBMem,
DatabaseServer,automationmanager,Action Mode Settings,resizeDBSForPerformance,Resize up,automationmanager,Action Mode Settings,resizeUpDBMem,Resize Up DBMem,
DatabaseServer,marketsettingsmanager,Operational Constraints,resizeMaxScalingObservationPeriod_DatabaseServer,Max Observation Period,# don’t migrate,,,,
DatabaseServer,marketsettingsmanager,Operational Constraints,resizeScalingAggressiveness_DatabaseServer,Aggressiveness,# don’t migrate,,,,
DatabaseServer,marketsettingsmanager,Operational Constraints,resizeTargetUtilization_DatabaseServer,Resize Target Utilization DBS,# don’t migrate,,,,
DesktopPool,marketsettingsmanager,Operational Constraints,dailyObservationWindows,Daily Observation Windows,resizeApplicationForEfficiency ,Operational Constraints,dailyObservationWindowDesktopPool,Daily Observation Windows,
DesktopPool,marketsettingsmanager,Operational Constraints,resizeMaxScalingObservationPeriod_DP,Max Observation Period,marketsettingsmanager,Operational Constraints,maxObservationPeriodDesktopPool,Max Observation Period,
DesktopPool,marketsettingsmanager,Operational Constraints,utilThreshold_PoolCPU,DesktopPool Pool CPU Utilization,marketsettingsmanager,Operational Constraints,poolCpuUtilizationThreshold,Pool CPU Utilization,
DesktopPool,marketsettingsmanager,Operational Constraints,utilThreshold_PoolMem,DesktopPool Pool Mem Utilization,marketsettingsmanager,Operational Constraints,poolMemoryUtilizationThreshold,Pool Memory Utilization,
DesktopPool,marketsettingsmanager,Operational Constraints,utilThreshold_PoolStorage,DesktopPool Pool Storage Utilization,marketsettingsmanager,Operational Constraints,poolStorageUtilizationThreshold,Pool Storage Utilization,
DiskArray,actionscriptmanager,Action Script Settings,clearMoveDA,ClearMove,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,clearProvisionDA,ClearProvision,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,clearResizeDA,ClearResize,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,clearStartDA,ClearStart,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,clearSuspendDA,ClearSuspend,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,moveDA,Move,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,postMoveDA,PostMove,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,postProvisionDA,PostProvision,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,postResizeDA,PostResize,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,postStartDA,PostStart,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,postSuspendDA,PostSuspend,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,preMoveDA,PreMove,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,preProvisionDA,PreProvision,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,preResizeDA,PreResize,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,preStartDA,PreStart,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,preSuspendDA,PreSuspend,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,provisionDA,Provision,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,resizeDA,Resize,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,startDA,Start,# Action script manager migration is not supported in this release,,,,
DiskArray,actionscriptmanager,Action Script Settings,suspendDA,Suspend,# Action script manager migration is not supported in this release,,,,
DiskArray,automationmanager,Action Mode Settings,moveDA,Move,automationmanager,Action Mode Settings,move,Move / Compute Scale,
DiskArray,automationmanager,Action Mode Settings,provisionDA,Provision,automationmanager,Action Mode Settings,provision,Provision,
DiskArray,automationmanager,Action Mode Settings,resizeDA,Resize,automationmanager,Action Mode Settings,resize,Resize,
DiskArray,automationmanager,Action Mode Settings,startDA,Start,automationmanager,Action Mode Settings,activate,Start,
DiskArray,automationmanager,Action Mode Settings,suspendDA,Suspend,automationmanager,Action Mode Settings,suspend,Suspend,
DiskArray,marketsettingsmanager,Operational Constraints,utilThreshold_SA_DA,Disk Array Storage Amount Utilization,marketsettingsmanager,Operational Constraints,storageAmountUtilization,Storage Amount Utilization,
DiskArray,storagesettingsmanager,Storage Settings,capacity_DAProvisioned,DiskArray Overprovisioned Percentage,storagesettingsmanager,Storage Settings,storageOverprovisionedPercentage,Storage Overprovisioned Percentage,
DiskArray,storagesettingsmanager,Storage Settings,capacity_IOPS_DiskArray,DiskArray IOPS Capacity,storagesettingsmanager,Storage Settings,iopsCapacity,IOPS Capacity,
DiskArray,storagesettingsmanager,Storage Settings,capacity_IOPS_Disks_10000,10k Disk IOPS Capacity,storagesettingsmanager,Storage Settings,diskCapacity10k,10k Disk IOPS Capacity,
DiskArray,storagesettingsmanager,Storage Settings,capacity_IOPS_Disks_15000,15k Disk IOPS Capacity,storagesettingsmanager,Storage Settings,diskCapacity15k,15k Disk IOPS Capacity,
DiskArray,storagesettingsmanager,Storage Settings,capacity_IOPS_Disks_7200,7.2k Disk IOPS Capacity,storagesettingsmanager,Storage Settings,diskCapacity7200,7.2k Disk IOPS Capacity,
DiskArray,storagesettingsmanager,Storage Settings,capacity_IOPS_Disks_SSD,SSD Disk IOPS Capacity,storagesettingsmanager,Storage Settings,diskCapacitySsd,SSD Disk IOPS Capacity,
DiskArray,storagesettingsmanager,Storage Settings,capacity_IOPS_Disks_VSeries,VSeries LUN IOPS Capacity,storagesettingsmanager,Storage Settings,diskCapacityVSeries,VSeries LUN IOPS Capacity,
DPod,automationmanager,Action Mode Settings,moveDPod,Move,"# dpod not supported, skip",,,,
DPod,automationmanager,Action Mode Settings,provisionDPod,Provision,"# dpod not supported, skip",,,,
DPod,automationmanager,Action Mode Settings,resizeDPod,Resize,"# dpod not supported, skip",,,,
DPod,automationmanager,Action Mode Settings,suspendDPod,Suspend,"# dpod not supported, skip",,,,
DPod,automationmanager,Action Mode Settings,terminateDPod,Terminate,"# dpod not supported, skip",,,,
IOModule,automationmanager,Action Mode Settings,suspendIOM,Suspend,automationmanager,Action Mode Settings,suspendIsDisabled,Suspend,
LogicalPool,automationmanager,Action Mode Settings,moveLP,Move,automationmanager,Action Mode Settings,move,Move / Compute Scale,
LogicalPool,automationmanager,Action Mode Settings,provisionLP,Provision,automationmanager,Action Mode Settings,provision,Provision,
LogicalPool,automationmanager,Action Mode Settings,resizeLP,Resize,automationmanager,Action Mode Settings,resize,Resize,
LogicalPool,automationmanager,Action Mode Settings,startLP,Start,automationmanager,Action Mode Settings,activate,Start,
LogicalPool,automationmanager,Action Mode Settings,suspendLP,Suspend,automationmanager,Action Mode Settings,suspend,Suspend,
LogicalPool,storagesettingsmanager,Storage Settings,capacity_IOPS_LogicalPool,LogicalPool IOPS Capacity,storagesettingsmanager,Storage Settings,iopsCapacity,IOPS Capacity,
LogicalPool,storagesettingsmanager,Storage Settings,capacity_LPProvisioned,LogicalPool Overprovisioned Percentage,storagesettingsmanager,Storage Settings,storageOverprovisionedPercentage,Storage Overprovisioned Percentage,
Network,automationmanager,Action Mode Settings,suspendNetwork,Suspend,"# not present, skip",,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,approvalBackendProvisionPM,On Generation,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,approvalBackendStartPM,On Generation,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,approvalBackendSuspendPM,On Generation,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,approvalBackendTerminatePM,On Generation,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,auditAfterExecProvisionPM,After execution,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,auditAfterExecStartPM,After execution,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,auditAfterExecSuspendPM,After execution,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,auditAfterExecTerminatePM,After execution,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,auditOnGenProvisionPM,After execution,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,auditOnGenStartPM,After execution,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,auditOnGenSuspendPM,After execution,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,auditOnGenTerminatePM,After execution,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,clearProvisionPM,ClearProvision,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,clearStartPM,ClearStart,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,clearSuspendPM,ClearSuspend,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,clearTerminatePM,ClearTerminate,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,postProvisionPM,PostProvision,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,postStartPM,PostStart,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,postSuspendPM,PostSuspend,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,postTerminatePM,PostTerminate,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,preProvisionPM,PreProvision,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,preStartPM,PreStart,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,preSuspendPM,PreSuspend,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,preTerminatePM,PreTerminate,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,provisionPM,Provision,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,startPM,Start,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,suspendPM,Suspend,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,actionscriptmanager,Action Script Settings,terminatePM,Terminate,# Action script manager migration is not supported in this release,,,,
PhysicalMachine,automationmanager,Action Mode Settings,provisionPM,Provision,automationmanager,Action Mode Settings,provision,Provision,
PhysicalMachine,automationmanager,Action Mode Settings,startPM,Start,automationmanager,Action Mode Settings,activate,Start,
PhysicalMachine,automationmanager,Action Mode Settings,suspendPM,Suspend,automationmanager,Action Mode Settings,suspend,Suspend,
PhysicalMachine,automationmanager,Action Mode Settings,terminatePM,Terminate,"# not present, skip",,,,
PhysicalMachine,capacityplandatamanager,Cluster Capacity,templateName,Template Name,# this is the cluster headroom setting in the plan tab. Api should be the same,,,,
PhysicalMachine,controlmanager,Action Workflow,provisionPMWorkflow,Provision Workflow,controlmanager,Action Workflow,provisionActionWorkflow,Provision Workflow,
PhysicalMachine,controlmanager,Action Workflow,suspendPMWorkflow,Suspend Workflow,controlmanager,Action Workflow,suspendActionWorkflow,Suspend Workflow,
PhysicalMachine,marketsettingsmanager,Operational Constraints,capacity_CPUProvisioned,CPU Overprovisioned Percentage,marketsettingsmanager,Operational Constraints,cpuOverprovisionedPercentage,CPU Overprovisioned Percentage,
PhysicalMachine,marketsettingsmanager,Operational Constraints,capacity_MemProvisioned,Mem Overprovisioned Percentage,marketsettingsmanager,Operational Constraints,memoryOverprovisionedPercentage,Memory Overprovisioned Percentage,
PhysicalMachine,marketsettingsmanager,Operational Constraints,disableDas,Ignore High Availability,"# not present, we can set mem/cpu utilization constraint to 100%",,,,
PhysicalMachine,marketsettingsmanager,Operational Constraints,targetBand,Diameter,marketsettingsmanager,Operational Constraints,targetBand,Diameter,
PhysicalMachine,marketsettingsmanager,Operational Constraints,utilTarget,Center,marketsettingsmanager,Operational Constraints,utilTarget,Center,
