Class Instance Setting Details,,,,,Equivalent XL setting details,,,,
PhysicalMachine,marketsettingsmanager,Operational Constraints,utilThreshold_CPU,Host CPU Utilization,marketsettingsmanager,Operational Constraints,cpuUtilization,CPU Utilization,
PhysicalMachine,marketsettingsmanager,Operational Constraints,utilThreshold_FLOW,Flow Utilization,"# not present, skip",,,,
PhysicalMachine,marketsettingsmanager,Operational Constraints,utilThreshold_IO,Host IOThroughput,marketsettingsmanager,Operational Constraints,ioThroughput,IO Throughput,
PhysicalMachine,marketsettingsmanager,Operational Constraints,utilThreshold_MEM,Host Memory Utilization,marketsettingsmanager,Operational Constraints,memoryUtilization,Memory Utilization,
PhysicalMachine,marketsettingsmanager,Operational Constraints,utilThreshold_NW,Host NetThroughput,marketsettingsmanager,Operational Constraints,netThroughput,Net Throughput,
PhysicalMachine,marketsettingsmanager,Operational Constraints,utilThreshold_RQ,Host Ready Queue Utilization,marketsettingsmanager,Operational Constraints,readyQueueUtilization,Ready Queue Utilization,
PhysicalMachine,marketsettingsmanager,Operational Constraints,utilThreshold_SW,Host Swapping Utilization,marketsettingsmanager,Operational Constraints,swappingUtilization,Swapping Utilization,
PhysicalMachine,marketsettingsmanager,Operational Constraints,vmDeletionSensitivity,Number of Additional Polling Cycles,"# not present, skip",,,,
ServiceEntity,automationmanager,Action Mode Settings,disableAllActions,Disable All Actions,automationmanager,Action Mode Settings,disableAllActions,Disable All Actions,
ServiceEntity,capacityplandatamanager,Cluster Capacity,numClusters,Number of clusters,"# not present, skip (already checked with Nitya)",,,,
Storage,actionscriptmanager,Action Script Settings,moveDS,Move,automationmanager,Action Mode Settings,move,Move / Compute Scale,
Storage,actionscriptmanager,Action Script Settings,postMoveDS,PostMove,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,postProvisionDS,PostProvision,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,postResizeDS,PostResize,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,postStartDS,PostStart,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,postSuspendDS,PostSuspend,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,preMoveDS,PreMove,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,preProvisionDS,PreProvision,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,preResizeDS,PreResize,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,preResizeDS,PreStart,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,preSuspendDS,PreSuspend,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,provisionDS,Provision,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,resizeDS,Resize,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,startDS,Start,# Action script manager migration is not supported in this release,,,,
Storage,actionscriptmanager,Action Script Settings,suspendDS,Suspend,# Action script manager migration is not supported in this release,,,,
Storage,automationmanager,Action Mode Settings,deleteDS,Delete Datastore,automationmanager,Action Mode Settings,delete,Delete,
Storage,automationmanager,Action Mode Settings,deleteVLM,Delete Volume,# AdityaD: this setting is now under virtual volume,,,,
Storage,automationmanager,Action Mode Settings,moveDS,Move,automationmanager,Action Mode Settings,move,Move / Compute Scale,
Storage,automationmanager,Action Mode Settings,provisionDS,Provision,automationmanager,Action Mode Settings,provision,Provision,
Storage,automationmanager,Action Mode Settings,resizeDS,Resize,automationmanager,Action Mode Settings,resize,Resize,
Storage,automationmanager,Action Mode Settings,startDS,Start,automationmanager,Action Mode Settings,activate,Start,
Storage,automationmanager,Action Mode Settings,suspendDS,Suspend,automationmanager,Action Mode Settings,suspend,Suspend,
Storage,controlmanager,Action Workflow,deleteSTWorkflow,Delete Workflow,controlmanager,Action Workflow,deleteActionWorkflow,Delete Workflow,
Storage,hcisettingsmanager,HyperConvergedInfrastructure Settings,compressionRatio,Compression Ratio,hcisettingsmanager,Hypercongerged Infrastructure Settings,hciCompressionRatio,Compression Ratio,
Storage,hcisettingsmanager,HyperConvergedInfrastructure Settings,hostIopsCapacity,Host IOPS Capacity,hcisettingsmanager,Hypercongerged Infrastructure Settings,hciHostIopsCapacity,Host IOPS Capacity,
Storage,hcisettingsmanager,HyperConvergedInfrastructure Settings,includeCompression,Usable space includes compression,hcisettingsmanager,Hypercongerged Infrastructure Settings,hciUseCompression,Usable Space Includes Compression,
Storage,hcisettingsmanager,HyperConvergedInfrastructure Settings,reservedHostCount,Host Capacity Reservation,hcisettingsmanager,Hypercongerged Infrastructure Settings,hciHostCapacityReservation,Host Capacity Reservation,
Storage,hcisettingsmanager,HyperConvergedInfrastructure Settings,slackSpace,Slack Space Percentage,hcisettingsmanager,Hypercongerged Infrastructure Settings,hciSlackSpacePercentage,Slack Space Percentage,
Storage,marketsettingsmanager,Operational Constraints,utilThreshold_IOPS,Storage IOPS Utilization,marketsettingsmanager,Operational Constraints,iopsUtilization,IOPS Utilization,
Storage,marketsettingsmanager,Operational Constraints,utilThreshold_LT,Storage Latency Utilization,marketsettingsmanager,Operational Constraints,latencyUtilization,Latency Utilization,
Storage,marketsettingsmanager,Operational Constraints,utilThreshold_SA,Storage Amount Utilization,marketsettingsmanager,Operational Constraints,storageAmountUtilization,Storage Amount Utilization,
Storage,marketsettingsmanager,Operational Constraints,utilThreshold_SP,Storage Provisioned Utilization,"# not present, skip (they can just set the overprovision factor)",,,,
Storage,storagesettingsmanager,Storage Settings,capacity_IOPS,IOPS Capacity,storagesettingsmanager,Storage Settings,iopsCapacity,IOPS Capacity,
Storage,storagesettingsmanager,Storage Settings,capacity_Latency,Storage latency [ms],storagesettingsmanager,Storage Settings,latencyCapacity,Storage latency capacity [ms],
Storage,storagesettingsmanager,Storage Settings,capacity_STProvisioned,Storage Overprovisioned Percentage,storagesettingsmanager,Storage Settings,storageOverprovisionedPercentage,Storage Overprovisioned Percentage,
Storage,storagesettingsmanager,Storage Settings,datastoreBrowsing,Datastore Browsing,# This is now in the target definition,,,,
Storage,storagesettingsmanager,Storage Settings,ignoreDirectory,Directories to ignore,storagesettingsmanager,Storage Settings,ignoreDirectories,Directories to ignore,
Storage,storagesettingsmanager,Storage Settings,ignoreFiles,Files to ignore,storagesettingsmanager,Storage Settings,ignoreFiles,Files to ignore,
Storage,storagesettingsmanager,Storage Settings,storageConstraints,Lock Vms To Datastores,! Lock VMs to Datastores – manual configuration required in XL,,,,
StorageController,actionscriptmanager,Action Script Settings,approvalBackendProvisionSC,On Generation,# Action script manager migration is not supported in this release,,,,
StorageController,actionscriptmanager,Action Script Settings,auditAfterExecProvisionSC,After execution,# Action script manager migration is not supported in this release,,,,
StorageController,actionscriptmanager,Action Script Settings,auditOnGenProvisionSC,After execution,# Action script manager migration is not supported in this release,,,,
StorageController,actionscriptmanager,Action Script Settings,clearProvisionSC,ClearProvision,# Action script manager migration is not supported in this release,,,,
StorageController,actionscriptmanager,Action Script Settings,postProvisionSC,PostProvision,# Action script manager migration is not supported in this release,,,,
StorageController,actionscriptmanager,Action Script Settings,preProvisionSC,PreProvision,# Action script manager migration is not supported in this release,,,,
StorageController,actionscriptmanager,Action Script Settings,provisionSC,Provision,# Action script manager migration is not supported in this release,,,,
StorageController,automationmanager,Action Mode Settings,provisionSC,Provision,automationmanager,Action Mode Settings,provisionIsDisabled,Provision,
StorageController,marketsettingsmanager,Operational Constraints,utilThreshold_CPU_SC,Storage Controller CPU Utilization,marketsettingsmanager,Operational Constraints,cpuUtilization,CPU Utilization,
StorageController,marketsettingsmanager,Operational Constraints,utilThreshold_SA_SC,Storage Controller Storage Amount Utilization,marketsettingsmanager,Operational Constraints,storageAmountUtilization,Storage Amount Utilization,
StorageController,storagesettingsmanager,Storage Settings,capacity_IOPS_StorageController,StorageController IOPS Capacity,marketsettingsmanager,Operational Constraints,iopsCapacity,IOPS Capacity,
Switch,actionscriptmanager,Action Script Settings,approvalBackendMoveSW,On Generation,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,approvalBackendProvisionSW,On Generation,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,approvalBackendResizeSW,On Generation,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,approvalBackendStartSW,On Generation,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,approvalBackendSuspendSW,On Generation,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditAfterExecMoveSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditAfterExecProvisionSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditAfterExecResizeSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditAfterExecStartSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditAfterExecSuspendSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditOnGenMoveSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditOnGenProvisionSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditOnGenResizeSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditOnGenStartSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,auditOnGenSuspendSW,After execution,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,clearMoveSW,ClearMove,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,clearProvisionSW,ClearProvision,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,clearResizeSW,ClearResize,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,clearStartSW,ClearStart,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,clearSuspendSW,ClearSuspend,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,moveSW,Move,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,postMoveSW,PostMove,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,postProvisionSW,PostProvision,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,postResizeSW,PostResize,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,postStartSW,PostStart,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,postSuspendSW,PostSuspend,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,preMoveSW,PreMove,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,preProvisionSW,PreProvision,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,preResizeSW,Resize,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,preStartSW,PreStart,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,preSuspendSW,PreSuspend,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,provisionSW,Provision,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,resizeSW,Resize,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,startSW,Start,# Action script manager migration is not supported in this release,,,,
Switch,actionscriptmanager,Action Script Settings,suspendSW,Suspend,# Action script manager migration is not supported in this release,,,,
Switch,automationmanager,Action Mode Settings,moveSW,Move,"# not present, skip",,,,
Switch,automationmanager,Action Mode Settings,provisionSW,Provision,"# not present, skip",,,,
Switch,automationmanager,Action Mode Settings,resizeSW,Resize,"# not present, skip",,,,
Switch,automationmanager,Action Mode Settings,startSW,Start,"# not present, skip",,,,
Switch,automationmanager,Action Mode Settings,suspendSW,Suspend,"# not present, skip",,,,
Switch,marketsettingsmanager,Operational Constraints,utilThreshold_NW_Switch,Switch NetThroughput,marketsettingsmanager,Operational Constraints,netThroughput,Net Throughput,
ViewPod,marketsettingsmanager,Operational Constraints,activeSessionCapacity,Active Sessions Capacity,marketsettingsmanager,Operational Constraints,viewPodActiveSessionCapacity,Active Sessions Capacity,
VirtualApplication,loadbalancersettingsmanager,Load Balancer Settings,capacity_VAppTransac,Virtual Application transactions capacity [per sec],marketsettingsmanager,Operational Constraints,transactionSLO,Transaction SLO,Service
VirtualDataCenter,actionscriptmanager,Action Script Settings,clearMoveVDC,ClearMove,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,clearProvisionVDC,ClearProvision,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,clearResizeVDC,ClearResize,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,clearSuspendVDC,ClearSuspend,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,clearTerminateVDC,ClearTerminate,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,moveVDC,Move,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,postMoveVDC,PostMove,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,postProvisionVDC,PostProvision,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,postResizeVDC,PostResize,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,postSuspendVDC,PostSuspend,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,postTerminateVDC,PostTerminate,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,preMoveVDC,PreMove,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,preProvisionVDC,PreProvision,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,preResizeVDC,PreResize,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,preSuspendVDC,PreSuspend,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,preTerminateVDC,PreTerminate,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,provisionVDC,Provision,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,resizeVDC,Resize,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,suspendVDC,Suspend,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,actionscriptmanager,Action Script Settings,terminateVDC,Terminate,# Action script manager migration is not supported in this release,,,,
VirtualDataCenter,automationmanager,Action Mode Settings,moveVDC,Move,"# we don't generate actions for VDC, skip",,,,
VirtualDataCenter,automationmanager,Action Mode Settings,provisionVDC,Provision,"# we don't generate actions for VDC, skip",,,,
VirtualDataCenter,automationmanager,Action Mode Settings,resizeVDC,Resize,"# we don't generate actions for VDC, skip",,,,
VirtualDataCenter,automationmanager,Action Mode Settings,suspendVDC,Suspend,"# we don't generate actions for VDC, skip",,,,
VirtualDataCenter,automationmanager,Action Mode Settings,terminateVDC,Terminate,"# we don't generate actions for VDC, skip",,,,
VirtualMachine,actionscriptmanager,Action Script Settings,changeVM,Change,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,moveVM,Move,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,postChangeVM,PostChange,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,postMoveVM,PostMove,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,postProvisionVM,PostProvision,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,postReconfigureVM,PostReconfigure,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,postResizeVM,PostResize,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,postStartVM,PostStart,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,postSuspendVM,PostSuspend,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,preChangeVM,PreChange,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,preMoveVM,PreMove,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,preProvisionVM,PreProvision,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,preReconfigureVM,PreReconfigure,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,preResizeVM,PreResize,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,preStartVM,PreStart,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,preSuspendVM,PreSuspend,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,provisionVM,Provision,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,reconfigureVM,Reconfigure,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,resizeVM,Resize,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,startVM,Start,# Action script manager migration is not supported in this release,,,,
VirtualMachine,actionscriptmanager,Action Script Settings,suspendVM,Suspend,# Action script manager migration is not supported in this release,,,,
VirtualMachine,automationmanager,Action Mode Settings,changeVM,Storage Move,automationmanager,Action Mode Settings,storageMove,Storage Move / Storage Scale,
VirtualMachine,automationmanager,Action Mode Settings,enforceNonDisruptiveMode,Enforce Non Disruptive Mode,automationmanager,Action Mode Settings,enforceNonDisruptive,Enforce Non Disruptive Mode,
VirtualMachine,automationmanager,Action Mode Settings,moveVM,Move,automationmanager,Action Mode Settings,move,Move / Compute Scale,
VirtualMachine,automationmanager,Action Mode Settings,provisionVM,Provision,automationmanager,Action Mode Settings,provision,Provision,
VirtualMachine,automationmanager,Action Mode Settings,reconfigureVM,Reconfigure,automationmanager,Action Mode Settings,reconfigure,Reconfigure,
VirtualMachine,automationmanager,Action Mode Settings,resizeDownVcpuVm,vCPU Resize Down,automationmanager,Action Mode Settings,resizeVcpuDownInBetweenThresholds,VCPU Resize Down,
VirtualMachine,automationmanager,Action Mode Settings,resizeDownVmemVm,vMem Resize Down,automationmanager,Action Mode Settings,resizeVmemDownInBetweenThresholds,VMem Resize Down,
VirtualMachine,automationmanager,Action Mode Settings,resizeUpVcpuVm,vCPU Resize Up,automationmanager,Action Mode Settings,resizeVcpuUpInBetweenThresholds,VCPU Resize Up,
VirtualMachine,automationmanager,Action Mode Settings,resizeUpVmemVm,vMem Resize Up,automationmanager,Action Mode Settings,resizeVmemUpInBetweenThresholds,VMem Resize Up,
VirtualMachine,automationmanager,Action Mode Settings,resizeVcpuAboveMaxVm,vCPU Resize Above Max,automationmanager,Action Mode Settings,resizeVcpuAboveMaxThreshold,VCPU Resize Above Max,
VirtualMachine,automationmanager,Action Mode Settings,resizeVcpuBelowMinVm,vCPU Resize Below Min,automationmanager,Action Mode Settings,resizeVcpuBelowMinThreshold,VCPU Resize Below Min,
VirtualMachine,automationmanager,Action Mode Settings,resizeVmemAboveMaxVm,vMem Resize Above Max,automationmanager,Action Mode Settings,resizeVmemAboveMaxThreshold,VMem Resize Above Max,
VirtualMachine,automationmanager,Action Mode Settings,resizeVmemBelowMinVm,vMem Resize Below Min,automationmanager,Action Mode Settings,resizeVmemBelowMinThreshold,VMem Resize Below Min,
VirtualMachine,automationmanager,Action Mode Settings,startVM,Start,automationmanager,Action Mode Settings,activate,Start,
VirtualMachine,automationmanager,Action Mode Settings,suspendVM,Suspend,automationmanager,Action Mode Settings,suspend,Suspend,
VirtualMachine,automationmanager,Action Mode Settings,useHypervisorVmem,Use Hypervisor Metrics for resizing,automationmanager,Action Mode Settings,useHypervisorMetricsForResizing,Use hypervisor VMEM for resize,
VirtualMachine,marketsettingsmanager,Operational Constraints,disableVPod,Ignore during VPod creation,# vpod not supported,,,,
VirtualMachine,marketsettingsmanager,Operational Constraints,enforceConsistentResizingVM,Consistent Resizing,marketsettingsmanager,Operational Constraints,consistentResizing,Enable Consistent Resizing,
VirtualMachine,marketsettingsmanager,Operational Constraints,ephemeralStorageAware,Instance Store Aware Scaling,marketsettingsmanager,Operational Constraints,instanceStoreAwareScaling,Instance Store Aware Scaling,
VirtualMachine,marketsettingsmanager,Operational Constraints,minObservationPeriod_VM,Min Observation Period,marketsettingsmanager,Operational Constraints,minObservationPeriodVirtualMachine,Min Observation Period,
VirtualMachine,marketsettingsmanager,Operational Constraints,minSustainedUtilization,Minimum Sustained Utilization,"# skip, we didn't port the functionality (it's PMC)",,,,
VirtualMachine,marketsettingsmanager,Operational Constraints,RATE_OF_RESIZE,Rate of Resize,marketsettingsmanager,Operational Constraints,RATE_OF_RESIZE,Rate of Resize,
VirtualMachine,marketsettingsmanager,Operational Constraints,resizable_VStorage_VM,Resize VStorage,marketsettingsmanager,Operational Constraints,resizeVStorage,Resize VStorage,
VirtualMachine,marketsettingsmanager,Operational Constraints,resizeMaxScalingObservationPeriod_VM,Max Observation Period,marketsettingsmanager,Operational Constraints,maxObservationPeriodVirtualMachine,Max Observation Period,
VirtualMachine,marketsettingsmanager,Operational Constraints,resizeScalingAggressiveness_VM,Aggressiveness,marketsettingsmanager,Operational Constraints,percentileAggressivenessVirtualMachine,Aggressiveness,
VirtualMachine,marketsettingsmanager,Operational Constraints,resizeTargetUtilization_VM_TemplateIops,Scaling Target VM IOPS Utilization,"# AdityaD: they are porting the feature to XL, it will be present in 7.22.6 or .7. skip for prev xl versions",,,,
VirtualMachine,marketsettingsmanager,Operational Constraints,resizeTargetUtilization_VM_VCpu,Scaling Target CPU Utilization,marketsettingsmanager,Operational Constraints,resizeTargetUtilizationVcpu,Scaling Target VCPU Utilization,
VirtualMachine,marketsettingsmanager,Operational Constraints,resizeTargetUtilization_VM_VMem,Scaling Target MEM Utilization,marketsettingsmanager,Operational Constraints,resizeTargetUtilizationVmem,Scaling Target VMEM Utilization,
VirtualMachine,marketsettingsmanager,Operational Constraints,resizeVcpuMaximum_VM,vCPU Max Size (Cores),marketsettingsmanager,Operational Constraints,resizeVcpuMaxThreshold,VCPU Resize Max Threshold (in Cores),
VirtualMachine,marketsettingsmanager,Operational Constraints,resizeVcpuMinimum_VM,vCPU Min Size (Cores),marketsettingsmanager,Operational Constraints,resizeVcpuMinThreshold,VCPU Resize Min Threshold (in Cores),
VirtualMachine,marketsettingsmanager,Operational Constraints,resizeVmemMaximum_VM,vMem Max Size (MB),marketsettingsmanager,Operational Constraints,resizeVmemMaxThreshold,VMEM Resize Max Threshold (in MB),
VirtualMachine,marketsettingsmanager,Operational Constraints,resizeVmemMinimum_VM,vMem Min Size (MB),marketsettingsmanager,Operational Constraints,resizeVmemMinThreshold,VMEM Resize Min Threshold (in MB),
VirtualMachine,marketsettingsmanager,Operational Constraints,usedIncrement_Heap,Increment constant for Heap [MB],"# vm is not selling heap, so we should not have it. Skip",,,,
VirtualMachine,marketsettingsmanager,Operational Constraints,usedIncrement_StAmt,Increment constant for Storage Amount [GB],"# not present, skip",,,,
VirtualMachine,marketsettingsmanager,Operational Constraints,usedIncrement_VCPU,Increment constant for VCPU [MHz],marketsettingsmanager,Operational Constraints,usedIncrement_VCPU,Increment constant for VCPU [MHz],
VirtualMachine,marketsettingsmanager,Operational Constraints,usedIncrement_VDCCPU,Increment constant for VDC CPU Allocation [MHz],"# not present, skip",,,,
VirtualMachine,marketsettingsmanager,Operational Constraints,usedIncrement_VDCMem,Increment constant for VDC Mem Allocation [MB],"# not present, skip",,,,
VirtualMachine,marketsettingsmanager,Operational Constraints,usedIncrement_VDCStorage,Increment constant for VDC Storage Allocation [GB],"# not present, skip",,,,
VirtualMachine,marketsettingsmanager,Operational Constraints,usedIncrement_VMEM,Increment constant for VMem [MB],marketsettingsmanager,Operational Constraints,usedIncrement_VMEM,Increment constant for VMem [MB],
VirtualMachine,marketsettingsmanager,Operational Constraints,usedIncrement_VStorage,Increment constant for VStorage [GB],marketsettingsmanager,Operational Constraints,usedIncrement_VStorage,Increment constant for VStorage [GB],
VPod,automationmanager,Action Mode Settings,provisionVPod,Provision,# vpod not supported,,,,
VPod,automationmanager,Action Mode Settings,resizeVPod,Resize,# vpod not supported,,,,
VPod,automationmanager,Action Mode Settings,suspendVPod,Suspend,# vpod not supported,,,,
VPod,automationmanager,Action Mode Settings,terminateVPod,Terminate,# vpod not supported,,,,
